[13/03/2020 9:01:52] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [ 4000] 
[13/03/2020 9:02:09] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 9:02:11] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [ 400000] 
[13/03/2020 9:08:22] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_instant_move], Params: [] 
[13/03/2020 9:08:40] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 9:08:42] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin2], Params: [] 
[13/03/2020 9:08:47] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_cw_add], Params: [] 
[13/03/2020 9:09:03] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_edit_character], Params: [] 
[13/03/2020 9:09:14] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_current_player], Params: [] 
[13/03/2020 9:09:23] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 9:09:27] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_character_info], Params: [ Nigga] 
[13/03/2020 9:09:28] --> GM: ArTeMiS [268477359], Target: [Nigga], Action: [admin_find_ip], Params: [ 125.161.130.24] 
[13/03/2020 9:09:30] --> GM: ArTeMiS [268477359], Target: [Nigga], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 9:09:41] --> GM: ArTeMiS [268477359], Target: [Nigga], Action: [admin_admin], Params: [] 
[13/03/2020 9:09:47] --> GM: ArTeMiS [268477359], Target: [Nigga], Action: [admin_admin4], Params: [] 
[13/03/2020 9:09:49] --> GM: ArTeMiS [268477359], Target: [Nigga], Action: [admin_admin2], Params: [] 
[13/03/2020 9:09:51] --> GM: ArTeMiS [268477359], Target: [Nigga], Action: [admin_cw_info_menu], Params: [] 
[13/03/2020 9:09:58] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_cw_add], Params: [ 8190] 
[13/03/2020 9:14:15] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 9:14:16] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 9:14:18] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin3], Params: [] 
[13/03/2020 9:14:20] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin2], Params: [] 
[13/03/2020 9:14:24] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_cw_info_menu], Params: [] 
[13/03/2020 9:14:31] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_cw_remove], Params: [ 8190] 
[13/03/2020 9:14:48] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 9:14:50] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin3], Params: [] 
[13/03/2020 9:14:52] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin2], Params: [] 
[13/03/2020 9:14:54] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_cw_info_menu], Params: [] 
[13/03/2020 9:14:56] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_cw_add], Params: [ 8689] 
[13/03/2020 9:21:05] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 9:21:06] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_admin2], Params: [] 
[13/03/2020 9:21:07] --> GM: ArTeMiS [268477359], Target: [QZRUH], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 9:22:45] --> GM: ArTeMiS [268477359], Target: [Uruka], Action: [admin_show_droplist], Params: [ 25527] 
[13/03/2020 9:22:47] --> GM: ArTeMiS [268477359], Target: [Uruka], Action: [admin_edit_drop], Params: [ 25527 8166 0] 
[13/03/2020 9:22:58] --> GM: ArTeMiS [268477359], Target: [Uruka], Action: [admin_show_droplist], Params: [ 25527] 
[13/03/2020 9:25:47] --> GM: ArTeMiS [268477359], Target: [Uruka], Action: [admin_show_droplist], Params: [ 25527] 
[13/03/2020 9:25:51] --> GM: ArTeMiS [268477359], Target: [Uruka], Action: [admin_edit_drop], Params: [ 25527 57 0] 
[13/03/2020 9:26:30] --> GM: ArTeMiS [268477359], Target: [Uruka], Action: [admin_kill], Params: [] 
[13/03/2020 9:31:12] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_spawn uruka], Params: [] 
[13/03/2020 9:31:19] --> GM: ArTeMiS [268477359], Target: [Uruka], Action: [admin_delete], Params: [] 
[13/03/2020 9:31:56] --> GM: ArTeMiS [268477359], Target: [AngelicDemon], Action: [admin_spawn uruka], Params: [] 
[13/03/2020 9:32:03] --> GM: ArTeMiS [268477359], Target: [Uruka], Action: [admin_show_droplist], Params: [ 25527] 
[13/03/2020 9:34:11] --> GM: ArTeMiS [268477359], Target: [Uruka], Action: [admin_delete], Params: [] 
[13/03/2020 9:37:41] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_admin], Params: [] 
[13/03/2020 9:37:43] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_admin3], Params: [] 
[13/03/2020 9:37:45] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [] 
[13/03/2020 9:37:46] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 9:37:48] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 9:37:49] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [ 400000] 
[13/03/2020 9:37:50] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [ 4000] 
[13/03/2020 9:37:53] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_help], Params: [ help/abnormal.htm] 
[13/03/2020 9:37:59] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_help], Params: [ help/server_menu.htm] 
[13/03/2020 9:38:06] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_help], Params: [ admhelp.htm] 
[13/03/2020 9:38:08] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_admin], Params: [] 
[13/03/2020 9:38:10] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_admin3], Params: [] 
[13/03/2020 9:38:39] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_admin3], Params: [] 
[13/03/2020 9:38:41] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [] 
[13/03/2020 9:38:48] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [ 1157] 
[13/03/2020 9:38:57] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_abnormal_menu], Params: [ 1157] 
[13/03/2020 9:38:58] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_admin3], Params: [] 
[13/03/2020 9:39:01] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_effect_menu], Params: [] 
[13/03/2020 9:39:20] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_effect 1157 4 10], Params: [] 
[13/03/2020 9:39:36] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_effect 1157 10], Params: [] 
[13/03/2020 9:39:48] --> GM: ArTeMiS [268477359], Target: [Lemon], Action: [admin_effect 1157], Params: [] 
[13/03/2020 10:04:03] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_setcolor ffffff], Params: [] 
[13/03/2020 10:04:04] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_invul], Params: [] 
[13/03/2020 10:04:05] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_vis], Params: [] 
[13/03/2020 10:04:10] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_show_skills], Params: [] 
[13/03/2020 10:04:11] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_skill_list], Params: [] 
[13/03/2020 10:04:13] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_help], Params: [ skills/Orc/orc.htm] 
[13/03/2020 10:04:17] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_help], Params: [ skills/Orc/O_Warcryer.htm] 
[13/03/2020 10:04:23] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_skill_index], Params: [ Orc/O_Warcryer2] 
[13/03/2020 10:04:26] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_skill_index], Params: [ Orc/O_Warcryer3] 
[13/03/2020 10:04:33] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_skill_index], Params: [ Orc/O_Warcryer4] 
[13/03/2020 10:04:37] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_add_skill], Params: [ 1229 18] 
[13/03/2020 10:15:48] --> GM: ArTeMiS [268477359], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 10:15:52] --> GM: ArTeMiS [268477359], Target: [no-target], Action: [admin_gmshop], Params: [] 
[13/03/2020 10:15:53] --> GM: ArTeMiS [268477359], Target: [no-target], Action: [admin_buy], Params: [ 3001] 
[13/03/2020 10:33:17] --> GM: ArTeMiS [268477359], Target: [Lilim Court Knight], Action: [admin_show_skilllist_npc], Params: [ 66] 
[13/03/2020 10:36:27] --> GM: ArTeMiS [268477359], Target: [no-target], Action: [admin_spawn 67], Params: [] 
[13/03/2020 10:39:05] --> GM: ArTeMiS [268477359], Target: [Nephilim Commander], Action: [admin_delete], Params: [] 
[13/03/2020 10:39:12] --> GM: ArTeMiS [268477359], Target: [Sayangku], Action: [admin_heal], Params: [] 
[13/03/2020 10:41:25] --> GM: ArTeMiS [268477359], Target: [no-target], Action: [admin_spawn 65], Params: [] 
[13/03/2020 10:41:29] --> GM: ArTeMiS [268477359], Target: [Lilim Slayer], Action: [admin_delete], Params: [] 
[13/03/2020 10:41:32] --> GM: ArTeMiS [268477359], Target: [no-target], Action: [admin_spawn 66], Params: [] 
[13/03/2020 10:41:36] --> GM: ArTeMiS [268477359], Target: [Lilim Court Knight], Action: [admin_delete], Params: [] 
[13/03/2020 10:41:41] --> GM: ArTeMiS [268477359], Target: [no-target], Action: [admin_spawn 69], Params: [] 
[13/03/2020 10:41:46] --> GM: ArTeMiS [268477359], Target: [Nephilim Guard], Action: [admin_para], Params: [] 
[13/03/2020 10:41:51] --> GM: ArTeMiS [268477359], Target: [Nephilim Guard], Action: [admin_edit_npc], Params: [ 69] 
[13/03/2020 10:42:02] --> GM: ArTeMiS [268477359], Target: [Nephilim Guard], Action: [admin_save_npc], Params: [ 69 mDef 800] 
