[13/03/2020 14:13:46] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [ 57 999999] 
[13/03/2020 14:13:57] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 14:14:02] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
[13/03/2020 14:14:07] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [ 5575 999999] 
[13/03/2020 14:14:26] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 14:14:29] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
[13/03/2020 14:14:39] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [ 57 100000000] 
[13/03/2020 14:14:54] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 14:14:57] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
[13/03/2020 14:15:02] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [ 5575 9999999] 
[13/03/2020 14:16:55] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 14:16:59] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
[13/03/2020 14:17:17] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [ 5575 1000000000] 
[13/03/2020 14:17:50] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_admin], Params: [] 
[13/03/2020 14:17:52] --> GM: splitzfire [268477387], Target: [Cardinal], Action: [admin_create_item], Params: [] 
