[13/03/2020 18:33:31] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_admin2], Params: [] 
[13/03/2020 18:33:32] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:33:33] --> GM: Kiyara [268480681], Target: [Nephilim Guard], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 18:33:39] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_edit_character], Params: [] 
[13/03/2020 18:33:52] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setclass], Params: [] 
[13/03/2020 18:34:20] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setclass], Params: [ 93] 
[13/03/2020 18:34:53] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:34:55] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:34:56] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:34:57] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 18:35:00] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_edit_character], Params: [] 
[13/03/2020 18:35:02] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setclass], Params: [] 
[13/03/2020 18:35:08] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setclass], Params: [ 98] 
[13/03/2020 18:35:31] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_ride_wyvern], Params: [] 
[13/03/2020 18:36:36] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:36:38] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 18:36:39] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:36:40] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 18:36:41] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:36:45] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 18:36:53] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_setclass], Params: [] 
[13/03/2020 18:36:56] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_current_player], Params: [] 
[13/03/2020 18:36:57] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_skills], Params: [] 
[13/03/2020 18:37:00] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_skill_list], Params: [] 
[13/03/2020 18:37:04] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_help], Params: [ skills/Special/Nobless_Skills.htm] 
[13/03/2020 18:37:12] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_add_skill], Params: [ 1323 1] 
[13/03/2020 18:38:00] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:38:02] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:38:04] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:38:06] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_character_info], Params: [ Bangsat] 
[13/03/2020 18:38:07] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_goto_char_menu], Params: [ Bangsat] 
[13/03/2020 18:38:50] --> GM: Kiyara [268480681], Target: [null], Action: [admin_admin], Params: [] 
[13/03/2020 18:38:51] --> GM: Kiyara [268480681], Target: [null], Action: [admin_admin2], Params: [] 
[13/03/2020 18:38:56] --> GM: Kiyara [268480681], Target: [Heroic Lord], Action: [admin_admin], Params: [] 
